City,State,CostOfLiving
San Francisco,CA,178.6
San Jose,CA,173.5
Kapaa,HI,164.9
Santa Cruz,CA,163.9
Kahului,HI,158.5
Honolulu,HI,158
Napa,CA,149.6
Santa Maria,CA,143
Santa Rosa,CA,141.7
Los Angeles,CA,140.6
Key West,FL,140
Salinas,CA,138.3
Hilo,HI,136.9
San Diego,CA,136.2
San Luis Obispo,CA,136.1
Truckee,CA,132.8
Boston,MA,132.6
Ventura,CA,132.2
New York,NY,128
Ukiah,CA,128
Glenwood Springs,CO,127.8
Bozeman,MT,125.3
Oak Harbor,WA,125.2
Vallejo,CA,125.2
Seattle,WA,124.6
Barnstable Town,MA,122.4
Sacramento,CA,120.3
Washington,DC,120.1
Stamford,CT,119.2
Boulder,CO,118.7
Eureka,CA,116.5
Portland,OR,116.5
Riverside,CA,116.1
Bend,OR,115.9
Bremerton,WA,115
Stockton,CA,113.6
Worcester,MA,113.2
Portland,ME,113
Burlington,VT,112.8
Kalispell,MT,112.7
Modesto,CA,112.3
Denver,CO,112.1
Bellingham,WA,111.6
Providence,RI,111.5
Olympia,WA,110.9
Anchorage,AK,110.7
Corvallis,OR,110.6
Chico,CA,110.5
Mount Vernon,WA,110.1
Miami,FL,110.1
Manchester,NH,109.6
Shelton,WA,109.6
Ocean City,NJ,109.5
Hilton Head Island,SC,109.4
Naples,FL,109.4
Fort Collins,CO,109.2
Port Angeles,WA,109.1
Madera,CA,108.9
Clearlake,CA,108.8
Redding,CA,108.7
Yuba City,CA,108.7
Flagstaff,AZ,108.5
Eugene,OR,108.4
Concord,NH,108.3
Merced,CA,108.2
Fairbanks,AK,107.9
New Haven,CT,107.7
Medford,OR,107.5
Reno,NV,107.4
Baltimore,MD,107
Austin,TX,106.6
Grants Pass,OR,106.6
Wenatchee,WA,106.6
Springfield,MA,106.5
Pittsfield,MA,106.4
Greenfield Town,MA,106.2
Greeley,CO,106.1
Kingston,NY,106.1
Fresno,CA,105.9
Salt Lake City,UT,105.9
New London,CT,105.9
Salem,OR,105.8
Albany,OR,105.4
Hanford,CA,105.4
Minneapolis,MN,105.4
Torrington,CT,105.2
Santa Fe,NM,105.1
Hartford,CT,104.8
California,MD,104.8
Crestview,FL,104.7
Prescott,AZ,104.6
Sarasota,FL,104.4
Phoenix,AZ,104.3
Trenton,NJ,104.3
Helena,MT,104.2
Visalia,CA,103.6
